,wideClass,mass (g)
7565,H,193.3
7566,H,271.5
7567,H,238.9
7568,Eucrite,255.1
7569,L,1606.3
7570,L,66.6
7571,L,516.2
7572,L,146.0
7573,L,3049.2
7574,H,234.0
7575,H,120.0
7576,H,90.0
7577,H,226.0
7579,H,582.0
7580,H,134.0
7586,H,1816.0
7588,H,1178.1
7589,H,274.0
7590,L,41.4
7591,H,20.0
7592,L,190.0
7594,H,12.0
7595,H,111.0
7596,L,272.0
7597,H,255.0
7598,H,1456.0
7599,H,256.0
7600,H,11.0
7601,H,86.0
7602,L,70.0
7603,L,602.0
7604,H,570.0
7605,H,99.0
7606,H,132.0
7607,L,3536.0
7608,L,5680.0
7609,H,1708.0
7610,H,14974.0
7611,CM,90.0
7612,H,62.0
7613,L,50.0
7614,L,3452.0
7615,H,716.0
7616,H,144.0
7617,H,1780.0
7618,LL,128.0
7619,L,93.0
7620,H,98.0
7621,LL,394.0
7622,L,320.0
7623,H,206.0
7624,H,4950.0
7625,L,82.6
7626,H,451.8
7627,H,58.4
7628,H,185.3
7629,H,178.3
7630,L,1074.6
7631,H,50.0
7632,H,97.8
7633,LL,38.3
7634,H,36.6
7635,L,585.7000000000002
7636,L,12.7
7637,H,64.3
7638,H,413.0
7639,L,191.8
7640,H,11.3
7641,H,1465.4
7642,H,2520.1
7643,H,110.2
7644,L,48.6
7645,L,6574.4
7646,H,787.5
7647,H,291.8
7648,LL,1698.1
7649,L,474.4
7650,L,324.3
7651,H,85.6
7652,H,1910.0
7653,H,124.0
7654,H,2006.0
7655,LL,50.0
7656,H,1335.0
7657,L,2073.0
7658,L,2085.0
7659,L,2475.0
7660,Eucrite,353.0
7661,H,7285.0
7662,L,1930.0
7663,L,1666.0
7664,L,1932.0
7665,Lunar,251.2
7666,L,4936.0
7667,L,928.0
7668,H,1788.0
7669,L,1337.0
7670,Eucrite,216.0
7671,L,1453.0
7672,Lunar,154.0
7673,L,996.0
7674,H,1180.0
7675,Acapulcoite,62.0
7676,L,1164.0
7677,H,804.0
7678,L,2366.0
7679,H,5988.0
7680,Ureilite,48.0
7681,L,1412.0
7682,L,698.0
7683,H,677.0
7684,L,410.0
7685,Eucrite,624.0
7686,Lunar,9.0
7687,Lunar,3.83
7688,Lunar,4.15
7689,Lunar,10.0
7690,Lunar,34.11
7691,Lunar,12.86
7692,Lunar,50.0
7693,Lunar,2.0
7694,Lunar,81.3
7695,Lunar,10.8
7696,Lunar,4.0
7697,Acapulcoite,354.0
7698,H,200.0
7699,L,501.0
7700,H,411.25
7701,L,3215.0
7702,L,2897.0
7703,L,522.0
7704,H,416.0
7705,L,413.0
7706,H,594.0
7707,H,658.0
7708,H,688.0
7709,H,448.0
